TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
ABOTT:x,x,x,x,l,1530,1530,Ann_Abbot,xxxx,f,xx,x,xxxx,x,xx,x,365,107,14,0,159,75,8,0,1364,566,56,0,25
ALBIN:x,x,x,x,C,1736,1736,Eleazar_Albin,1713,m,23,x,xxxx,x,xx,x,9073,2569,193,4,873,471,38,3,36382,13412,1283,13,630
ALHATTON:x,x,x,x,l,1699,1700,Alice_E_Hatton,1680,f,19,Christopher_Hatton,1540,m,159,father,817,195,80,0,316,134,48,0,2968,938,404,0,42
ALHATTON2:x,x,x,x,l,1687,1687,Alice_Hatton,1630,f,57,Christopher_Hatton,1540,m,147,brother,919,239,80,0,378,169,59,0,3621,1300,434,0,65
ALLEN_001:x,x,x,x,L,1579,1579,William_Allen,1532,m,47,Richard_Hopkins,1546,m,33,x,1699,423,67,22,540,287,39,20,11311,2417,327,129,54
ALLEN_002:x,x,x,x,L,1579,1579,William_Allen,1532,m,47,Owen_Lewis,_,m,_,x,4056,1015,129,107,1079,598,63,90,24962,5993,652,613,116
ALLEN_003:x,x,x,x,L,1593,1593,William_Allen,1532,m,61,John_Arden,_,m,_,x,132,36,3,1,88,34,3,1,886,217,11,6,5
ALLEN_004:x,x,x,x,L,1593,1593,William_Allen,1532,m,61,John_Arden,_,m,_,x,128,34,3,1,84,33,3,1,701,176,13,9,3
AMBASS:x,x,x,x,L,1525,1525,x,xxxx,m,xx,Henry_VIII,1491,m,34,king,1486,407,45,3,532,295,32,3,6232,2450,272,17,25
ANHATTON:x,x,x,x,l,1692,1695,Anne_Finch,1668,f,24,Christopher_Hatton,1540,m,152,father,1969,521,77,0,629,337,54,0,7678,2849,440,0,108
ANON:x,x,x,x,E,1711,1711,John_Clark?,1687,m,24,x,xxxx,x,xx,x,6453,1714,203,31,969,541,62,22,27574,10808,1224,163,236
APLUMPT:x,x,x,x,l,1503,1504,Agnes_Plumpton,1458,f,45,x,xxxx,m,xx,kin,2210,578,166,3,506,270,76,2,8717,3049,1026,21,141
APOOLE:x,x,x,x,l,1552,1552,Ann_Poole,1485,f,67,Isabel_Plumpton,1485,f,67,sister,201,49,19,0,106,40,15,0,827,291,103,0,12
ARMIN:x,x,x,x,F,1608,1608,Robert_Armin,1568,m,40,x,xxxx,x,xx,x,16326,5377,486,6,2872,2042,132,6,65298,28444,2615,30,1287
ARUNDEL_001:x,x,x,x,L,1589,1589,Anne_Howard[n.dacre],1553,f,36,William_Cecil,1520,m,69,x,289,87,7,0,155,71,7,0,1994,530,47,0,8
ARUNDEL_002:x,x,x,x,l,1607,1607,Anne_Howard[n.dacre],1553,f,54,Gilbert_Talbot_1,1553,m,54,KIN,232,67,7,0,133,54,7,0,1881,339,42,0,9
ARUNDEL_003:x,x,x,x,l,1608,1608,Anne_Howard[n.dacre],1553,f,55,Gilbert_Talbot_1,1553,m,55,KIN,225,64,4,0,120,54,4,0,2054,323,25,0,11
ARUNDEL_004:x,x,x,x,l,1608,1608,Thomas_Howard_Iii,1585,m,23,Anne_Howard[n.dacre],1553,f,55,MOTHER,160,40,6,0,93,37,5,0,1318,234,46,0,6
ARUNDEL_005:x,x,x,x,l,1608,1608,Thomas_Howard_Iii,1585,m,23,Anne_Howard[n.dacre],1553,f,55,MOTHER,155,34,3,0,85,33,2,0,1491,191,22,0,8
ARUNDEL_006:x,x,x,x,l,1608,1608,Anne_Howard[n.dacre],1553,f,55,Mary_Talbot[n.cavendish],_,f,_,KIN,489,133,10,0,212,99,9,0,4014,671,71,0,19
ARUNDEL_007:x,x,x,x,l,1608,1608,Thomas_Howard_Iii,1585,m,23,Anne_Howard[n.dacre],1553,f,55,MOTHER,355,93,18,0,177,80,15,0,3112,525,130,0,15
ARUNDEL_008:x,x,x,x,l,1609,1609,Aletheia_Howard[n.talbot],1585,f,24,Gilbert_Talbot_1,1553,m,56,FATHER,211,60,6,0,116,54,6,0,1700,344,40,0,7
ARUNDEL_009:x,x,x,x,l,1609,1609,Anne_Howard[n.dacre],1553,f,56,Mary_Talbot[n.cavendish],_,f,_,KIN,311,89,8,0,157,73,6,0,2466,469,47,0,11
ARUNDEL_010:x,x,x,x,l,1609,1609,Anne_Howard[n.dacre],1553,f,56,Thomas_Howard_Iii,1585,m,24,SON,540,125,19,0,224,92,14,0,4487,661,106,0,22
ARUNDEL_011:x,x,x,x,L,1613,1613,Thomas_Howard_Iii,1585,m,28,Dudley_Carleton,1573,m,40,x,226,54,10,21,141,46,10,19,1820,319,54,119,10
ARUNDEL_012:x,x,x,x,l,1613,1613,Thomas_Howard_Iii,1585,m,28,Anne_Howard[n.dacre],1553,f,60,MOTHER,155,38,10,9,96,37,7,9,1416,220,58,50,7
ARUNDEL_013:x,x,x,x,l,1613,1613,Thomas_Howard_Iii,1585,m,28,Anne_Howard[n.dacre],1553,f,60,MOTHER,263,61,11,11,139,48,9,11,2110,293,59,62,10
ARUNDEL_014:x,x,x,x,L,1614,1614,Anne_Howard[n.dacre],1553,f,61,Thomas_Edmondes,1564,m,50,x,379,108,16,1,185,89,13,1,2760,638,106,3,12
ARUNDEL_015:x,x,x,x,l,1615,1615,Thomas_Howard_Iii,1585,m,30,Anne_Howard[n.dacre],1553,f,62,MOTHER,197,55,13,0,114,51,10,0,2008,297,73,0,11
ARUNDEL_016:x,x,x,x,l,1615,1615,Thomas_Howard_Iii,1585,m,30,Anne_Howard[n.dacre],1553,f,62,MOTHER,334,87,22,0,170,81,17,0,3345,479,135,0,18
ARUNDEL_017:x,x,x,x,l,1615,1615,Thomas_Howard_Iii,1585,m,30,Anne_Howard[n.dacre],1553,f,62,MOTHER,295,70,20,0,144,51,15,0,2897,365,117,0,16
ARUNDEL_018:x,x,x,x,l,1615,1615,Thomas_Howard_Iii,1585,m,30,Anne_Howard[n.dacre],1553,f,62,MOTHER,419,90,39,0,186,75,25,0,4071,500,208,0,22
ARUNDEL_019:x,x,x,x,l,1615,1615,Thomas_Howard_Iii,1585,m,30,Anne_Howard[n.dacre],1553,f,62,MOTHER,265,73,18,0,142,61,15,0,2347,394,112,0,11
ARUNDEL_020:x,x,x,x,l,1616,1616,Thomas_Howard_Iii,1585,m,31,Anne_Howard[n.dacre],1553,f,63,MOTHER,506,111,35,0,208,90,25,0,4975,604,235,0,27
ARUNDEL_021:x,x,x,x,l,1616,1616,Thomas_Howard_Iii,1585,m,31,Anne_Howard[n.dacre],1553,f,63,MOTHER,222,56,13,0,127,53,10,0,2239,302,78,0,12
ARUNDEL_022:x,x,x,x,L,1617,1617,Dudley_Carleton,1573,m,44,Horace_Vere,1565,m,52,x,238,59,10,1,130,52,10,1,1589,332,61,3,8
ARUNDEL_023:x,x,x,x,l,1618,1618,Thomas_Howard_Iii,1585,m,33,Anne_Howard[n.dacre],1553,f,65,MOTHER,221,57,11,0,114,50,9,0,2310,298,74,0,13
ARUNDEL_024:x,x,x,x,l,1619,1619,Thomas_Howard_Iii,1585,m,34,Anne_Howard[n.dacre],1553,f,66,MOTHER,266,65,7,0,129,53,7,0,2519,363,40,0,13
ARUNDEL_025:x,x,x,x,l,1619,1619,Thomas_Howard_Iii,1585,m,34,Anne_Howard[n.dacre],1553,f,66,MOTHER,183,51,12,0,102,41,12,0,1759,274,80,0,9
ARUNDEL_026:x,x,x,x,l,1619,1619,Thomas_Howard_Iii,1585,m,34,Anne_Howard[n.dacre],1553,f,66,MOTHER,204,46,22,0,106,40,16,0,2380,233,133,0,14
ARUNDEL_027:x,x,x,x,l,1619,1619,Thomas_Howard_Iii,1585,m,34,Anne_Howard[n.dacre],1553,f,66,MOTHER,236,51,28,0,131,48,22,0,2301,300,149,0,12
ARUNDEL_028:x,x,x,x,l,1619,1619,Thomas_Howard_Iii,1585,m,34,Anne_Howard[n.dacre],1553,f,66,MOTHER,323,80,32,2,153,62,28,2,3182,435,218,8,17
ARUNDEL_029:x,x,x,x,L,1620,1620,Inigo_Jones,1573,m,47,Thomas_Howard_Iii,1585,m,35,x,481,131,23,0,220,105,18,0,3707,783,121,0,21
ARUNDEL_030:x,x,x,x,L,1621,1621,Thomas_Howard_Iii,1585,m,36,Dudley_Carleton,1573,m,48,x,424,111,13,0,186,89,13,0,3006,669,73,0,15
