TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
ADAMS-1787:NA,NA,NA,NA,SCIENCE_OTHER,1787,1787,George_Adams,1750,m,37,NA,NA,NA,NA,NA,9020,2593,73,46,1547,899,20,14,40581,15852,356,268,443
ANDREWS-1785:NA,NA,NA,NA,HISTORY,1785,1785,John_Andrews,1736,m,49,NA,NA,NA,NA,NA,8763,2610,142,0,2063,1392,15,0,41838,18220,1043,0,476
ANDREWS2-1796:NA,NA,NA,NA,HISTORY,1796,1796,James Pettit_Andrews,1737,m,59,NA,NA,NA,NA,NA,8958,2721,277,32,2446,1499,121,10,41735,17618,1864,104,410
ANON2-1732:NA,NA,NA,NA,EDUC TREAT,1732,1732,Anonymous author of 'The index-writer',NA,NA,NA,NA,NA,NA,NA,NA,7400,2095,38,29,1614,906,28,29,33550,13666,265,198,162
ANON3-1772:NA,NA,NA,NA,BIOGR OTHER,1772,1772,anonymous,NA,NA,NA,NA,NA,NA,NA,NA,9630,2697,515,20,1974,1225,161,16,42879,17248,2853,131,391
ANON4-1791:NA,NA,NA,NA,TRAVELOGUE,1791,1791,Anonymous English gentleman,NA,NA,NA,NA,NA,NA,NA,NA,10228,3076,371,54,2293,1462,191,37,44797,18843,2333,260,540
AUSTEN-1815:NA,NA,NA,NA,FICTION,1815,1815,Jane_Austen,1775,f,40,NA,NA,NA,NA,NA,9548,2614,506,1,1702,1034,62,1,40253,15337,2850,3,789
AUSTEN-181X:NA,NA,NA,NA,LET PRIV,1806,1806,Jane_Austen,1775,f,31,NA,NA,NA,NA,NA,9890,2653,677,9,1915,1088,263,6,41873,14588,3782,40,776
BAKER-1742:NA,NA,NA,NA,SCIENCE_OTHER,1742,1742,Henry_Baker,1698,m,44,NA,NA,NA,NA,NA,8703,2856,63,20,1807,1127,30,17,38171,16625,374,151,412
BARTON-GRESSWELL-1906:NA,NA,NA,NA,SCIENCE_MEDICINE,1906,1906,Frank Townend_Barton,NA,m,NA,NA,NA,NA,NA,NA,7891,2720,155,63,2037,1231,100,14,36878,17169,900,291,502
BEALE-1898:NA,NA,NA,NA,EDUC TREAT,1898,1898,Dorothea_Beale,1831,f,67,NA,NA,NA,NA,NA,9077,2915,113,44,2016,1235,75,18,40757,18157,656,173,504
